Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Shitsuji ga Aruji o Erabu Toki,PSV,2016.0,Adventure,Unknown,0.0,0.0,0.01,0.0,0.01,,,,,,
Retro Atari Classics,DS,2005.0,Misc,Atari,0.12,0.0,0.0,0.01,0.13,51.0,17.0,3.7,7.0,Taniko,E
Blood Bowl,X360,2009.0,Sports,Focus Home Interactive,0.13,0.02,0.0,0.01,0.16,61.0,28.0,5.1,19.0,Cyanide,T
Little League World Series Baseball 2009,Wii,2009.0,Sports,Activision,0.14,0.0,0.0,0.01,0.15,,,tbd,,Now Production,E
Pipe Mania,PSP,2008.0,Puzzle,Empire Interactive,0.06,0.0,0.0,0.01,0.07,74.0,6.0,tbd,,Empire Interactive,E
RoboCop,XB,2003.0,Shooter,Titus,0.01,0.0,0.0,0.0,0.02,30.0,9.0,3.6,12.0,Titus Software,M
Momotarou Dentetsu DS: Tokyo & Japan,DS,2007.0,Misc,Hudson Soft,0.0,0.0,0.34,0.0,0.34,,,,,,
Warriors Orochi 2,PS2,2008.0,Action,Tecmo Koei,0.06,0.05,0.0,0.02,0.13,52.0,9.0,8.5,13.0,Omega Force,T
Inazuma Eleven GO,3DS,2011.0,Role-Playing,Nintendo,0.0,0.05,0.48,0.0,0.53,,,,,,
Hotel Giant 2,PC,2008.0,Strategy,JoWood Productions,0.0,0.03,0.0,0.0,0.03,58.0,7.0,2.5,19.0,Enlight Software,E
River Raid II,2600,1988.0,Shooter,Activision,0.47,0.03,0.0,0.01,0.51,,,,,,
NCAA Final Four 2004,PS2,2003.0,Sports,Sony Computer Entertainment,0.1,0.08,0.0,0.03,0.2,45.0,16.0,tbd,,989 Sports,E
Just Dance: Disney Party 2,XOne,2015.0,Action,Ubisoft,0.05,0.01,0.0,0.01,0.07,,,tbd,,Ubisoft,E
Virtua Tennis 3,X360,2007.0,Sports,Sega,0.03,0.01,0.0,0.0,0.04,80.0,34.0,6.8,26.0,Sumo Digital,E
DriveClub,PS4,2014.0,Racing,Sony Computer Entertainment,0.36,1.38,0.02,0.31,2.07,71.0,85.0,6.1,1571.0,Evolution Studios,E
Samurai Shodown II,NG,1994.0,Fighting,SNK,0.0,0.0,0.25,0.0,0.25,,,,,,
The Legend of Heroes III: Song of the Ocean,PSP,2006.0,Role-Playing,Namco Bandai Games,0.03,0.0,0.0,0.0,0.03,58.0,17.0,6.1,7.0,Microvision,E10+
Iron Chef America: Supreme Cuisine,DS,2008.0,Simulation,Destineer,0.18,0.0,0.0,0.01,0.19,,,tbd,,Black Lantern Studios,E10+
NCAA March Madness 08,PS2,2007.0,Sports,Electronic Arts,0.13,0.1,0.0,0.03,0.26,,,5,8.0,EA Canada,E
Flipnic: Ultimate Pinball,PS2,2003.0,Misc,Ubisoft,0.03,0.02,0.0,0.01,0.06,64.0,28.0,8.1,12.0,SCEI,E
Dragon Quest X,3DS,2014.0,Role-Playing,Square Enix,0.0,0.0,0.17,0.0,0.17,,,,,,
The Sims,XB,2003.0,Simulation,Electronic Arts,0.31,0.1,0.0,0.01,0.42,84.0,17.0,6.9,20.0,Edge of Reality,T
The Tomb Raider Trilogy,PS3,2011.0,Action,Square Enix,0.27,0.46,0.0,0.15,0.88,78.0,37.0,8.1,60.0,Crystal Dynamics,T
IHRA Drag Racing: Sportsman Edition,PS2,2006.0,Racing,Bethesda Softworks,0.04,0.03,0.0,0.01,0.08,,,tbd,,Bethesda Softworks,E10+
The Treasures of Montezuma,DS,2010.0,Puzzle,Foreign Media Games,0.02,0.01,0.0,0.0,0.04,,,tbd,,Foreign Media,E
Sumikko Gurashi: Omise Hajimerundesu,3DS,2015.0,Action,Nippon Columbia,0.0,0.0,0.15,0.0,0.15,,,,,,
MVP Baseball 2005,XB,2005.0,Sports,Electronic Arts,0.7,0.2,0.0,0.03,0.94,86.0,35.0,,,EA Sports,
Wallace & Gromit in Project Zoo,XB,2003.0,Platform,BAM! Entertainment,0.02,0.01,0.0,0.0,0.03,,,,,,
Mad Max (2015),PS4,2015.0,Action,Warner Bros. Interactive Entertainment,0.36,0.59,0.04,0.18,1.17,,,,,,
Monster Jam: Maximum Destruction,PS2,2002.0,Racing,Ubisoft,0.32,0.25,0.0,0.08,0.65,47.0,11.0,6,6.0,Ubisoft,T
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,DS,2005.0,Adventure,Activision,0.05,0.0,0.0,0.0,0.05,,,,,,
Alice: Madness Returns,PC,2011.0,Adventure,Electronic Arts,0.0,0.1,0.0,0.02,0.12,75.0,29.0,8.4,559.0,Spicy Horse,M
Rocket League,XOne,2016.0,Sports,505 Games,0.05,0.17,0.0,0.02,0.24,87.0,22.0,8.3,194.0,Psyonix,E
Kidou Gekidan Haro Ichiza Gundam Mahjong DS: Oyaji nimo Agarareta koto nai noni!,DS,2005.0,Misc,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,,,,,,
Metro: Last Light,PC,2013.0,Action,Deep Silver,0.06,0.11,0.0,0.02,0.19,82.0,71.0,8.6,2654.0,4A Games,M
Fat Princess: Fistful of Cake,PSP,2010.0,Action,Sony Computer Entertainment,0.08,0.02,0.0,0.02,0.12,74.0,33.0,8.7,25.0,SuperVillain Studios,T
Kokoro Connect: Yochi Random,PSP,2012.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,,,,,,
The Secret Saturdays: Beasts of the 5th Sun,PS2,2009.0,Action,D3Publisher,0.05,0.02,0.0,0.08,0.15,,,tbd,,High Voltage Software,E10+
Disney Sing It: Pop Hits,Wii,2009.0,Misc,Disney Interactive Studios,1.07,0.28,0.0,0.13,1.48,,,tbd,,Zoe Mode,E
Nickelodeon Dance,Wii,2011.0,Misc,Take-Two Interactive,0.21,0.01,0.0,0.01,0.24,,,tbd,,High Voltage Software,E
